country,Crop Type,Season,Yield Percentage,Year,Water Levels,Temperature
China,Plam Oil,Winter,17.04,2020,65.92,75.84
Finland,Wheat,Rainy Season,53.18,2022,49.66,79.03
Vatican City,Paddy,Rainy Season,53.39,2020,77.95,24.28
Seychelles,Plam Oil,Summer,47.78,2021,21.79,69.51
Venezuela,Wheat,Rainy Season,56.09,2022,29.0,78.14
Ghana,Wheat,Summer,45.1,2021,59.97,24.37
Sao Tome and Principe,Plam Oil,Summer,63.53,2021,72.82,33.63
Nepal,Plam Oil,Rainy Season,60.84,2021,23.64,71.66
Chad,Cotton,Fall,62.41,2021,89.42,52.46
Austria,Cotton,Rainy Season,73.19,2021,91.93,89.23
Kiribati,Wheat,Fall,68.1,2020,56.86,67.92
Cabo Verde,Wheat,Summer,81.22,2021,22.38,49.67
Bosnia and Herzegovina,Paddy,Fall,59.17,2021,81.89,58.76
New Zealand,Paddy,Fall,45.1,2020,75.03,73.52
Thailand,Plam Oil,Summer,13.96,2020,52.2,71.44
Côte d’Ivoire,Plam Oil,Spring,87.0,2020,61.82,42.71
Uganda,Apples,Rainy Season,20.45,2021,41.75,62.27
Tonga,Apples,Spring,33.93,2020,79.54,73.81
Russia,Apples,Spring,14.04,2020,54.82,79.42
Myanmar (Burma),Sugar Cane,Fall,61.85,2020,69.43,66.17
Kenya,Cotton,Winter,55.58,2020,12.96,41.33
Tunisia,Wheat,Rainy Season,28.43,2022,15.26,11.6
Marshall Islands,Sugar Cane,Spring,80.4,2020,62.85,12.8
Malaysia,Cotton,Summer,32.6,2020,26.1,24.41
Bulgaria,Paddy,Fall,15.06,2022,44.22,93.0
Vietnam,Wheat,Spring,63.59,2020,40.28,62.39
Belize,Apples,Spring,89.64,2021,42.72,53.81
Sierra Leone,Sugar Cane,Winter,34.8,2022,70.96,64.11
Israel,Paddy,Rainy Season,65.58,2020,63.85,57.2
India,Paddy,Spring,87.47,2020,61.68,89.5
North Macedonia,Wheat,Winter,23.08,2022,35.85,90.1
Malaysia,Paddy,Summer,10.92,2020,78.04,80.73
Gabon,Maze,Fall,77.25,2020,29.06,31.67
Chile,Sugar Cane,Spring,68.99,2020,19.43,83.48
Moldova,Cotton,Spring,68.56,2021,12.63,47.4
Slovakia,Paddy,Winter,59.91,2022,37.54,16.29
Uganda,Apples,Rainy Season,29.41,2022,60.49,79.39
Chad,Wheat,Fall,24.75,2021,60.88,49.17
Vietnam,Paddy,Fall,63.17,2022,73.63,65.43
Sri Lanka,Wheat,Summer,82.77,2021,13.22,70.82
Barbados,Plam Oil,Rainy Season,16.5,2021,20.91,89.06
Switzerland,Apples,Rainy Season,61.02,2021,55.79,48.12
Luxembourg,Apples,Spring,84.06,2022,22.83,60.45
Lithuania,Cotton,Summer,29.12,2022,34.16,68.3
Nauru,Paddy,Winter,88.17,2020,55.39,83.09
Comoros,Plam Oil,Fall,14.53,2022,92.99,14.81
Seychelles,Wheat,Spring,56.35,2022,19.11,37.05
Iraq,Maze,Rainy Season,56.44,2020,42.16,16.52
Poland,Sugar Cane,Spring,21.37,2020,92.93,86.47
Latvia,Plam Oil,Rainy Season,76.43,2022,33.1,72.26
Equatorial Guinea,Paddy,Fall,80.36,2021,75.92,43.98
"Congo, Republic of the",Cotton,Winter,66.35,2021,53.94,73.95
Andorra,Sugar Cane,Summer,56.88,2022,87.09,70.59
Tonga,Wheat,Summer,55.31,2020,30.08,26.98
Saint Lucia,Plam Oil,Fall,61.16,2020,19.36,78.73
Botswana,Sugar Cane,Winter,44.49,2020,59.83,50.92
Qatar,Wheat,Summer,66.89,2021,24.15,22.43
Botswana,Sugar Cane,Rainy Season,67.74,2022,88.58,83.66
"Congo, Democratic Republic of the",Apples,Rainy Season,40.56,2022,64.84,16.82
Guyana,Maze,Spring,66.69,2021,27.87,37.86
Austria,Sugar Cane,Rainy Season,13.17,2021,15.04,43.35
Eswatini,Maze,Spring,64.15,2022,57.33,68.12
Mali,Apples,Spring,54.08,2021,16.64,21.17
Estonia,Sugar Cane,Fall,81.29,2020,53.6,75.72
Malaysia,Sugar Cane,Fall,58.68,2021,44.08,37.56
Monaco,Cotton,Winter,11.29,2020,51.35,33.84
Eritrea,Wheat,Rainy Season,74.58,2022,42.23,81.63
Taiwan,Plam Oil,Rainy Season,49.02,2022,68.62,16.88
North Macedonia,Cotton,Winter,34.63,2022,12.1,52.88
Montenegro,Paddy,Rainy Season,12.5,2021,29.29,63.95
Laos,Plam Oil,Spring,90.63,2022,68.27,68.65
Suriname,Paddy,Winter,57.63,2020,38.36,62.89
Portugal,Maze,Fall,64.65,2020,83.47,12.58
"Congo, Democratic Republic of the",Maze,Summer,55.09,2022,29.73,91.79
Vietnam,Sugar Cane,Winter,89.1,2022,91.73,71.43
Portugal,Paddy,Rainy Season,15.21,2022,19.32,44.83
Maldives,Sugar Cane,Winter,20.96,2020,55.38,77.52
Czech Republic,Maze,Fall,10.41,2021,66.63,70.93
Oman,Apples,Spring,58.43,2022,83.08,11.98
Canada,Cotton,Winter,57.38,2021,51.9,80.86
Austria,Cotton,Fall,46.91,2021,64.88,89.88
Vatican City,Wheat,Spring,54.03,2022,44.77,64.74
Canada,Sugar Cane,Summer,10.36,2020,50.07,52.27
Japan,Paddy,Spring,46.35,2022,28.93,13.65
Belarus,Sugar Cane,Winter,36.09,2022,30.49,78.68
Cameroon,Sugar Cane,Winter,62.93,2022,82.84,76.25
Austria,Wheat,Winter,45.54,2021,35.07,73.15
Ukraine,Maze,Winter,28.36,2022,28.93,73.39
Mauritius,Cotton,Fall,64.99,2020,74.96,68.58
Brazil,Sugar Cane,Winter,45.38,2021,38.87,82.19
Hungary,Maze,Fall,79.27,2021,27.55,43.65
Panama,Plam Oil,Summer,49.43,2022,60.44,27.19
Turkey,Cotton,Rainy Season,54.28,2022,78.96,51.68
Greece,Apples,Rainy Season,36.81,2022,83.31,25.12
Angola,Maze,Fall,32.72,2022,58.1,14.06
Israel,Cotton,Spring,33.98,2021,45.31,41.07
Spain,Wheat,Winter,31.61,2022,13.17,79.46
China,Sugar Cane,Spring,31.62,2020,48.77,63.47
Togo,Plam Oil,Fall,84.1,2021,15.11,21.15
Belarus,Apples,Winter,66.15,2020,48.26,41.62
Greece,Sugar Cane,Rainy Season,88.7,2020,12.89,22.64
Senegal,Apples,Summer,30.68,2021,35.95,25.23
China,Wheat,Winter,76.5,2020,10.57,29.88
Vanuatu,Wheat,Fall,76.66,2021,79.9,55.85
South Africa,Paddy,Winter,29.34,2021,75.01,73.84
Dominican Republic,Maze,Spring,44.8,2021,12.5,76.97
Niger,Maze,Spring,32.6,2020,85.31,39.27
Fiji,Apples,Summer,14.79,2022,21.64,65.5
Mauritania,Paddy,Summer,30.08,2022,67.03,55.26
Comoros,Wheat,Rainy Season,85.15,2020,66.02,60.0
Djibouti,Wheat,Winter,80.67,2021,13.33,50.88
Tonga,Maze,Summer,92.84,2022,60.85,12.9
Nicaragua,Apples,Spring,62.64,2022,55.63,63.04
Honduras,Sugar Cane,Winter,12.94,2020,89.74,14.24
Egypt,Paddy,Fall,37.08,2020,80.8,42.68
Somalia,Apples,Fall,39.37,2021,64.45,67.42
Vanuatu,Paddy,Spring,12.13,2021,12.17,71.93
Afghanistan,Plam Oil,Winter,41.69,2022,32.8,45.49
Italy,Wheat,Summer,92.99,2021,16.28,88.61
Czech Republic,Plam Oil,Summer,47.43,2022,38.45,89.86
Vietnam,Maze,Fall,65.7,2021,69.28,28.68
Papua New Guinea,Maze,Fall,59.5,2021,16.54,37.66
Norway,Cotton,Summer,28.11,2022,10.51,27.07
Rwanda,Plam Oil,Summer,62.86,2022,89.6,28.78
Somalia,Sugar Cane,Spring,70.39,2021,48.81,48.4
Tanzania,Wheat,Spring,38.33,2021,66.61,40.96
Honduras,Plam Oil,Fall,78.68,2022,87.35,79.52
Bolivia,Cotton,Rainy Season,60.96,2021,83.35,13.52
Lebanon,Cotton,Rainy Season,41.39,2020,64.01,42.64
Ireland,Sugar Cane,Spring,88.47,2020,70.32,17.31
Sri Lanka,Maze,Fall,58.7,2020,63.86,21.11
Nigeria,Maze,Winter,69.29,2020,31.62,67.36
Paraguay,Paddy,Winter,20.74,2020,14.96,75.54
Libya,Cotton,Fall,61.2,2021,83.21,55.37
Bolivia,Sugar Cane,Rainy Season,35.33,2020,77.62,57.64
Cyprus,Cotton,Rainy Season,88.88,2021,15.37,57.92
Nigeria,Paddy,Rainy Season,39.78,2022,19.69,26.42
France,Maze,Rainy Season,16.2,2021,89.82,73.96
Iraq,Cotton,Winter,25.08,2020,47.32,34.52
Australia,Cotton,Winter,88.38,2021,26.69,40.95
Malawi,Plam Oil,Summer,30.48,2022,60.85,38.13
Sweden,Maze,Rainy Season,45.02,2021,37.15,47.92
Haiti,Sugar Cane,Rainy Season,75.23,2022,38.79,69.33
Honduras,Sugar Cane,Winter,56.82,2021,71.97,21.17
Peru,Paddy,Winter,35.43,2021,21.0,84.16
Tonga,Sugar Cane,Rainy Season,62.08,2021,31.28,85.95
Bosnia and Herzegovina,Plam Oil,Fall,86.79,2020,29.45,56.46
Vanuatu,Sugar Cane,Winter,12.59,2022,56.66,59.53
Sudan,Paddy,Rainy Season,77.14,2022,18.58,31.33
Angola,Sugar Cane,Winter,68.12,2021,57.87,91.52
Kenya,Sugar Cane,Fall,54.53,2020,76.61,85.97
Tuvalu,Wheat,Fall,38.6,2021,59.66,63.41
Oman,Sugar Cane,Winter,21.54,2022,31.44,37.19
Iceland,Cotton,Fall,71.88,2020,73.48,64.2
Mozambique,Plam Oil,Fall,20.27,2021,60.81,47.69
Eswatini,Apples,Spring,91.44,2021,85.9,35.4
Djibouti,Apples,Winter,68.7,2022,56.44,74.36
Denmark,Cotton,Summer,26.16,2022,31.35,83.76
Pakistan,Maze,Winter,50.32,2020,31.07,10.72
Haiti,Sugar Cane,Summer,56.22,2021,41.55,47.65
Tanzania,Plam Oil,Rainy Season,91.67,2021,27.97,53.9
Albania,Plam Oil,Winter,45.6,2020,66.01,85.91
Uzbekistan,Maze,Fall,58.1,2020,55.97,16.94
Liechtenstein,Cotton,Rainy Season,30.52,2022,17.87,27.73
Belize,Plam Oil,Fall,48.8,2021,72.18,56.34
Cameroon,Plam Oil,Winter,23.98,2021,75.03,22.66
Djibouti,Wheat,Rainy Season,16.42,2021,66.51,83.03
United Arab Emirates,Sugar Cane,Summer,12.07,2022,48.99,58.77
Rwanda,Plam Oil,Spring,12.9,2021,67.5,47.41
Grenada,Paddy,Summer,36.37,2021,35.87,38.78
Lebanon,Apples,Fall,90.77,2021,80.77,63.34
Ghana,Plam Oil,Spring,69.22,2020,41.44,14.42
France,Apples,Spring,26.11,2022,56.79,91.23
"Micronesia, Federated States of",Paddy,Rainy Season,20.91,2020,78.78,17.28
Kuwait,Cotton,Spring,27.49,2022,58.6,51.45
Thailand,Wheat,Winter,58.89,2020,58.89,29.17
Ukraine,Maze,Winter,65.7,2021,67.14,17.33
Czech Republic,Sugar Cane,Rainy Season,55.61,2020,58.14,90.05
Ecuador,Sugar Cane,Winter,39.87,2022,17.12,54.35
Bhutan,Plam Oil,Fall,18.98,2021,82.97,61.9
Malta,Cotton,Fall,89.22,2022,43.09,77.49
Kazakhstan,Plam Oil,Summer,64.71,2020,36.35,32.32
Azerbaijan,Sugar Cane,Summer,39.57,2020,28.62,44.27
Malaysia,Maze,Winter,56.23,2020,37.63,41.98
Turkey,Apples,Fall,17.39,2021,14.05,53.18
Burkina Faso,Paddy,Rainy Season,51.47,2021,77.19,48.94
Morocco,Cotton,Rainy Season,53.66,2021,24.67,76.82
Tajikistan,Wheat,Spring,43.22,2020,88.14,15.01
Solomon Islands,Sugar Cane,Spring,19.01,2020,41.74,54.15
India,Apples,Summer,57.28,2020,63.23,35.09
Trinidad and Tobago,Sugar Cane,Fall,43.79,2022,36.6,44.37
Nicaragua,Maze,Fall,79.32,2021,24.28,16.85
Ireland,Sugar Cane,Winter,42.08,2020,82.39,77.92
Chile,Wheat,Fall,27.88,2021,60.59,73.12
Tonga,Wheat,Rainy Season,25.26,2022,93.07,92.94
Saint Lucia,Plam Oil,Summer,57.46,2021,23.41,33.35
The Bahamas,Cotton,Summer,75.41,2020,68.97,39.62
Nigeria,Paddy,Rainy Season,30.61,2022,87.82,68.26
Maldives,Apples,Winter,74.29,2021,86.3,14.21
Jamaica,Wheat,Fall,24.95,2021,26.37,34.44
China,Maze,Rainy Season,76.7,2020,48.85,10.91
Lebanon,Cotton,Winter,51.14,2020,56.28,25.71
Tunisia,Plam Oil,Fall,40.49,2021,83.87,33.15
Grenada,Plam Oil,Summer,17.73,2022,28.01,32.44
Gabon,Paddy,Spring,85.38,2021,90.1,68.02
Suriname,Apples,Fall,83.41,2022,36.31,72.26
Belarus,Paddy,Fall,29.53,2022,85.92,39.01
India,Maze,Winter,45.61,2022,33.39,74.12
Myanmar (Burma),Wheat,Fall,89.67,2022,72.81,22.96
Lesotho,Sugar Cane,Winter,52.0,2020,92.13,14.9
Suriname,Cotton,Rainy Season,14.48,2020,15.89,50.54
Libya,Cotton,Spring,12.57,2021,33.08,33.97
Gabon,Wheat,Summer,91.48,2021,46.49,75.16
"Micronesia, Federated States of",Paddy,Winter,38.94,2021,41.55,72.63
Namibia,Apples,Spring,14.51,2021,47.88,37.03
Sao Tome and Principe,Sugar Cane,Fall,83.51,2021,81.66,17.67
Lesotho,Cotton,Fall,12.52,2021,13.58,33.52
Slovenia,Cotton,Rainy Season,18.86,2020,35.53,22.88
Chad,Maze,Spring,55.6,2021,27.03,87.17
Denmark,Wheat,Fall,45.07,2020,73.5,39.74
Senegal,Paddy,Winter,56.26,2020,11.57,57.85
Nicaragua,Apples,Rainy Season,56.36,2022,82.35,15.33
Paraguay,Plam Oil,Rainy Season,19.65,2020,64.45,36.31
"Sudan, South",Sugar Cane,Spring,85.01,2021,58.09,37.12
Sierra Leone,Wheat,Summer,31.15,2021,74.56,84.38
Fiji,Cotton,Summer,55.25,2021,65.69,41.9
Laos,Sugar Cane,Summer,45.31,2021,31.17,12.78
El Salvador,Apples,Summer,71.83,2021,80.16,45.73
Chile,Sugar Cane,Fall,13.69,2022,87.92,78.13
Nauru,Cotton,Spring,34.37,2022,11.69,40.96
United Arab Emirates,Cotton,Spring,84.32,2022,42.34,25.21
Uganda,Wheat,Spring,68.59,2022,72.66,70.09
Burkina Faso,Maze,Winter,19.58,2021,73.23,76.13
Brazil,Maze,Spring,78.85,2022,52.05,21.39
Nicaragua,Apples,Rainy Season,35.69,2021,83.42,54.83
Trinidad and Tobago,Maze,Winter,17.48,2022,33.06,43.2
Bolivia,Wheat,Spring,56.67,2020,86.74,15.03
Madagascar,Apples,Winter,77.96,2020,34.85,84.33
Guyana,Cotton,Summer,19.37,2022,62.81,25.72
Greece,Wheat,Rainy Season,30.08,2020,44.16,90.95
Zambia,Maze,Fall,24.11,2020,64.21,14.56
Venezuela,Wheat,Spring,69.75,2021,47.34,64.88
Bolivia,Cotton,Rainy Season,61.61,2020,26.09,92.2
Dominican Republic,Maze,Spring,67.53,2020,45.31,89.34
Kazakhstan,Cotton,Summer,35.83,2021,46.74,66.75
Brazil,Cotton,Winter,66.23,2020,84.73,30.45
Brazil,Plam Oil,Rainy Season,88.92,2020,71.14,71.0
Gabon,Paddy,Rainy Season,92.74,2021,19.08,62.94
Mali,Apples,Summer,62.88,2022,41.93,58.62
Dominica,Sugar Cane,Winter,21.74,2022,81.56,93.02
"Congo, Republic of the",Sugar Cane,Rainy Season,30.04,2022,36.33,64.81
Malaysia,Maze,Summer,31.29,2021,48.65,56.2
Azerbaijan,Wheat,Summer,40.79,2022,74.13,22.53
Bangladesh,Plam Oil,Winter,41.32,2021,64.65,58.23
Saint Lucia,Plam Oil,Spring,33.38,2021,17.99,22.18
"Congo, Democratic Republic of the",Paddy,Winter,11.07,2022,72.37,16.57
Cabo Verde,Apples,Summer,15.38,2022,91.47,37.95
Gabon,Plam Oil,Spring,60.47,2022,57.02,12.87
Honduras,Maze,Fall,22.35,2022,78.83,29.76
Malawi,Wheat,Rainy Season,61.52,2020,83.32,32.56
Azerbaijan,Plam Oil,Summer,21.56,2022,40.91,59.62
Belize,Maze,Rainy Season,16.5,2020,12.6,79.67
Israel,Paddy,Fall,28.79,2020,84.19,54.2
Bhutan,Paddy,Winter,53.9,2020,10.52,84.81
"Congo, Democratic Republic of the",Apples,Fall,26.24,2022,47.65,32.95
Côte d’Ivoire,Plam Oil,Fall,76.97,2022,47.94,27.54
Guatemala,Apples,Rainy Season,36.64,2022,32.79,75.77
Lesotho,Plam Oil,Fall,75.9,2020,19.32,37.15
Luxembourg,Paddy,Rainy Season,81.79,2022,62.63,23.92
Uruguay,Plam Oil,Summer,56.83,2020,20.41,63.03
Mozambique,Paddy,Spring,67.28,2021,27.89,70.42
Norway,Maze,Summer,84.86,2022,19.59,23.59
Bangladesh,Plam Oil,Winter,21.29,2020,86.88,49.27
Japan,Plam Oil,Rainy Season,38.88,2021,25.32,37.16
Libya,Apples,Summer,90.39,2020,57.5,38.15
Czech Republic,Cotton,Rainy Season,72.32,2021,35.86,84.76
Uzbekistan,Wheat,Fall,43.0,2022,59.12,41.95
Argentina,Wheat,Rainy Season,44.32,2021,58.88,28.78
Vanuatu,Wheat,Rainy Season,16.52,2020,72.76,38.22
Norway,Maze,Fall,44.73,2020,93.01,36.2
Trinidad and Tobago,Paddy,Spring,33.33,2020,82.32,15.22
Nauru,Sugar Cane,Winter,12.41,2021,28.13,21.9
Ethiopia,Plam Oil,Spring,71.76,2020,46.25,37.11
San Marino,Wheat,Spring,71.04,2020,29.53,27.68
North Macedonia,Maze,Winter,71.88,2022,79.97,73.11
Poland,Wheat,Spring,67.37,2021,57.6,80.94
El Salvador,Paddy,Spring,44.6,2020,81.98,83.0
Croatia,Sugar Cane,Winter,31.07,2020,55.92,18.43
Switzerland,Wheat,Winter,35.07,2022,48.96,49.29
Laos,Plam Oil,Fall,45.33,2021,83.05,17.77
Senegal,Plam Oil,Winter,59.37,2022,15.04,32.44
Malaysia,Wheat,Rainy Season,73.25,2020,22.86,81.29
Bulgaria,Wheat,Rainy Season,23.63,2020,24.79,31.09
Tajikistan,Apples,Spring,36.92,2022,53.0,62.87
"Micronesia, Federated States of",Apples,Summer,84.93,2021,74.54,20.14
Eswatini,Plam Oil,Rainy Season,77.05,2021,76.36,30.93
Azerbaijan,Wheat,Fall,21.05,2022,64.91,16.48
Kuwait,Apples,Spring,85.96,2020,54.61,84.92
Panama,Plam Oil,Fall,62.69,2022,81.38,86.04
Denmark,Maze,Spring,55.59,2022,22.84,79.91
Lithuania,Maze,Summer,55.84,2020,92.02,91.24
Sierra Leone,Wheat,Rainy Season,73.34,2020,34.71,24.91
Japan,Apples,Rainy Season,19.01,2022,58.83,31.31
Myanmar (Burma),Paddy,Summer,25.46,2021,53.21,11.73
Palau,Sugar Cane,Summer,59.96,2020,27.66,18.39
Thailand,Wheat,Summer,25.31,2021,84.93,71.2
Saudi Arabia,Apples,Summer,72.86,2022,72.03,72.11
Serbia,Maze,Rainy Season,65.8,2021,74.17,39.61
Honduras,Maze,Winter,66.86,2021,32.92,80.2
Saint Lucia,Sugar Cane,Fall,49.16,2020,35.54,74.84
Saint Kitts and Nevis,Paddy,Fall,78.75,2022,80.41,54.22
United Arab Emirates,Plam Oil,Winter,14.3,2020,24.3,14.02
Spain,Sugar Cane,Summer,82.67,2022,71.63,12.21
Botswana,Paddy,Summer,87.22,2022,78.24,76.64
Laos,Cotton,Fall,21.2,2021,88.13,75.36
Albania,Apples,Fall,43.59,2021,22.91,46.74
"Sudan, South",Sugar Cane,Fall,49.61,2022,80.47,43.81
Bangladesh,Apples,Summer,31.25,2020,25.27,58.58
Suriname,Cotton,Winter,23.43,2020,32.74,48.8
Panama,Wheat,Rainy Season,62.5,2020,57.39,35.29
Croatia,Cotton,Fall,41.02,2022,92.8,25.34
Austria,Apples,Rainy Season,72.4,2020,74.59,51.53
Serbia,Paddy,Summer,92.69,2020,43.64,20.5
Rwanda,Paddy,Fall,70.5,2022,17.45,62.4
Russia,Apples,Fall,41.19,2022,70.7,26.09
"Congo, Republic of the",Cotton,Spring,48.0,2020,34.96,76.97
Armenia,Wheat,Rainy Season,76.87,2020,44.05,49.24
Nauru,Cotton,Rainy Season,55.32,2020,90.24,32.01
Djibouti,Maze,Spring,92.19,2021,16.24,80.6
Liberia,Cotton,Summer,58.96,2022,39.89,69.02
Ireland,Paddy,Winter,83.2,2022,82.5,59.02
Botswana,Cotton,Summer,57.14,2022,65.45,27.43
Angola,Paddy,Rainy Season,51.85,2021,63.04,15.37
Brazil,Apples,Spring,39.46,2020,52.11,33.31
Singapore,Apples,Fall,58.44,2022,82.93,25.05
Somalia,Apples,Winter,79.77,2022,75.14,62.62
Poland,Paddy,Summer,81.43,2022,27.82,55.38
"Congo, Republic of the",Wheat,Winter,70.01,2022,83.58,29.42
Ethiopia,Sugar Cane,Spring,10.23,2021,25.48,22.48
Mauritius,Paddy,Rainy Season,30.91,2022,25.94,18.55
Romania,Apples,Rainy Season,85.84,2021,29.27,50.38
Ecuador,Wheat,Summer,84.94,2020,13.22,88.5
Afghanistan,Plam Oil,Summer,44.07,2021,90.14,16.83
Cambodia,Wheat,Summer,63.69,2020,34.5,89.82
Chile,Maze,Rainy Season,36.19,2020,67.69,45.34
Ghana,Paddy,Summer,31.75,2020,57.28,19.86
Brunei,Sugar Cane,Rainy Season,21.36,2021,58.52,65.56
Serbia,Cotton,Spring,70.22,2020,41.2,54.22
Malawi,Plam Oil,Summer,87.35,2022,59.85,66.73
Guyana,Maze,Winter,13.03,2020,22.29,93.03
Australia,Maze,Rainy Season,49.14,2020,46.38,64.29
Solomon Islands,Sugar Cane,Spring,78.06,2021,82.49,56.09
Greece,Cotton,Summer,69.29,2022,81.81,39.13
Belgium,Maze,Spring,56.41,2022,56.4,74.44
Canada,Maze,Summer,61.21,2021,33.12,25.31
Vietnam,Sugar Cane,Rainy Season,92.34,2022,15.72,91.06
France,Plam Oil,Summer,73.94,2021,72.5,14.74
Montenegro,Paddy,Spring,13.09,2020,72.3,25.58
Philippines,Maze,Fall,84.02,2022,28.59,67.64
Samoa,Wheat,Rainy Season,16.07,2020,18.67,46.46
Kazakhstan,Plam Oil,Summer,53.1,2022,13.77,16.37
Sri Lanka,Sugar Cane,Rainy Season,35.01,2022,23.25,12.01
Togo,Plam Oil,Spring,68.94,2022,31.79,72.28
Russia,Maze,Winter,63.4,2022,26.87,56.83
Burundi,Sugar Cane,Spring,75.95,2020,41.76,49.3
India,Sugar Cane,Spring,37.22,2020,70.21,14.31
Somalia,Apples,Winter,75.72,2020,10.24,56.35
Algeria,Plam Oil,Rainy Season,20.78,2021,34.69,34.96
Sri Lanka,Paddy,Fall,86.32,2021,64.82,15.3
Finland,Maze,Rainy Season,81.55,2021,77.22,78.17
Dominican Republic,Maze,Rainy Season,41.14,2021,25.56,51.9
Afghanistan,Cotton,Summer,16.16,2020,57.74,50.39
Barbados,Maze,Fall,59.73,2020,25.88,39.38
Kenya,Sugar Cane,Spring,21.74,2022,37.87,15.17
Kuwait,Cotton,Winter,50.78,2021,34.91,37.23
Estonia,Cotton,Summer,83.91,2022,20.49,67.21
Austria,Paddy,Summer,11.31,2021,79.75,27.1
Romania,Wheat,Summer,29.96,2021,75.45,63.52
Argentina,Maze,Fall,59.79,2022,23.99,15.43
Austria,Plam Oil,Winter,10.61,2020,72.2,89.81
Belarus,Apples,Spring,39.89,2022,29.5,89.89
Montenegro,Plam Oil,Rainy Season,60.9,2021,33.14,65.74
Lebanon,Apples,Winter,32.86,2022,18.49,71.82
"Congo, Democratic Republic of the",Plam Oil,Fall,75.92,2020,17.31,54.9
Iran,Sugar Cane,Summer,41.86,2022,21.31,71.92
Dominica,Apples,Summer,19.78,2020,20.64,43.77
Armenia,Maze,Summer,48.69,2020,18.11,33.64
Iraq,Sugar Cane,Summer,14.97,2022,68.53,16.9
Italy,Plam Oil,Winter,91.94,2021,14.2,88.73
Senegal,Sugar Cane,Fall,51.81,2021,15.03,58.96
Mexico,Maze,Rainy Season,46.17,2022,66.47,69.61
Venezuela,Cotton,Spring,16.61,2022,17.45,38.86
Ecuador,Cotton,Spring,62.93,2020,22.34,42.75
Lithuania,Wheat,Spring,64.77,2021,82.08,92.54
East Timor (Timor-Leste),Wheat,Spring,77.87,2021,32.3,59.99
Tajikistan,Cotton,Winter,64.48,2020,18.62,71.95
Zambia,Cotton,Spring,63.38,2022,68.18,47.74
Lebanon,Plam Oil,Summer,29.79,2021,72.09,32.18
Haiti,Sugar Cane,Rainy Season,36.21,2021,75.58,60.32
Suriname,Cotton,Summer,11.25,2021,43.94,14.94
Australia,Maze,Winter,46.33,2022,56.02,80.54
Guinea,Wheat,Fall,65.39,2021,14.34,53.77
Moldova,Sugar Cane,Spring,63.9,2022,65.66,60.61
Guatemala,Sugar Cane,Summer,32.97,2022,12.43,37.71
Chad,Maze,Rainy Season,30.16,2022,32.29,34.77
Saint Kitts and Nevis,Plam Oil,Fall,43.29,2020,27.91,22.42
Peru,Wheat,Winter,23.48,2022,69.42,30.03
Libya,Cotton,Spring,62.32,2020,42.5,51.31
Cyprus,Maze,Fall,65.0,2022,64.08,57.56
Yemen,Wheat,Spring,27.99,2020,22.32,88.23
Laos,Apples,Spring,14.5,2021,92.72,41.43
United Arab Emirates,Maze,Spring,45.76,2021,43.32,88.68
Greece,Maze,Summer,19.0,2021,61.99,29.4
Jamaica,Cotton,Summer,11.46,2020,38.39,27.97
Ukraine,Sugar Cane,Fall,42.83,2021,77.46,65.72
Albania,Paddy,Rainy Season,21.02,2021,45.89,24.19
United States,Maze,Summer,64.21,2020,28.37,48.96
Palau,Plam Oil,Rainy Season,66.35,2022,40.0,69.15
Vietnam,Plam Oil,Spring,23.23,2022,77.79,31.56
Ghana,Wheat,Summer,70.91,2020,89.53,85.52
Myanmar (Burma),Cotton,Summer,50.11,2021,38.61,47.71
Singapore,Plam Oil,Summer,22.57,2020,26.45,75.9
Brunei,Sugar Cane,Spring,22.66,2022,87.41,17.0
Benin,Plam Oil,Summer,83.97,2021,61.62,72.59
Hungary,Wheat,Fall,61.28,2021,32.15,90.47
Trinidad and Tobago,Plam Oil,Rainy Season,24.68,2022,32.17,70.55
Saint Kitts and Nevis,Sugar Cane,Spring,73.37,2021,47.34,11.1
Vatican City,Sugar Cane,Summer,74.35,2022,30.5,21.8
Spain,Maze,Spring,41.45,2022,41.5,26.3
Djibouti,Paddy,Winter,68.77,2021,77.6,24.36
Eswatini,Sugar Cane,Fall,30.26,2020,86.48,87.78
Sierra Leone,Sugar Cane,Rainy Season,29.28,2020,16.11,56.74
Libya,Plam Oil,Rainy Season,44.7,2020,75.69,92.2
Djibouti,Plam Oil,Summer,46.63,2022,92.41,67.21
Nicaragua,Plam Oil,Spring,17.75,2021,79.24,43.58
Taiwan,Plam Oil,Summer,52.89,2021,62.29,14.42
Niger,Paddy,Spring,69.27,2020,17.41,37.15
Cyprus,Sugar Cane,Fall,80.4,2022,49.26,67.79
North Macedonia,Apples,Spring,58.94,2022,33.04,62.34
Tajikistan,Wheat,Winter,40.56,2021,79.47,41.47
Slovakia,Apples,Summer,82.39,2022,61.02,61.6
Central African Republic,Cotton,Fall,80.91,2022,25.51,10.57
Australia,Paddy,Summer,89.46,2022,66.4,21.4
Trinidad and Tobago,Paddy,Rainy Season,44.75,2022,83.15,92.05
Comoros,Sugar Cane,Winter,47.43,2022,86.04,16.23
Algeria,Sugar Cane,Rainy Season,41.13,2020,86.64,90.46
"Congo, Democratic Republic of the",Cotton,Spring,50.06,2022,56.97,58.02
Sweden,Maze,Summer,61.39,2020,14.72,50.67
Lithuania,Paddy,Winter,89.01,2022,46.78,25.83
